Species Name,Latitude,Longitude,Day,Month,Year,Local Time,Location Name,Loc Reliability,Sp Code,ID Reliability,Min. Number of Animals,Max. Number of Animals,Animal Condition,Platform,Type of Sighting,Type of Gear,Target Species,Strand or Entrapment Outcome,Depth (m),Distance From Obs (m),Discard Wt (kg)
Leatherback Turtle,46.7502,-57.7288,,,2024,,off Burgeo Bank,2,9701,1,3,3,Alive,Fishing Vessel,Free Swimming,,,,400,,
Leatherback Turtle,48.095,-48.8508,19,5,2024,14:05,SHAWINIGAN,2,9701,2,1,1,Dead,Military Vessel,Unknown,,,Dead,,,
Unknown Turtle,43.7443,-62.6,5,6,2024,21:45,Offshore,2,20,2,5,5,Alive,Military Vessel,Free Swimming,,,,,,
Green Turtle,42.5167,-61.4333,7,6,2024,,,1,9703,1,1,1,Alive,Offshore Industry Platform,Free Swimming,,,,,100,
Unknown Turtle,41.4783,-66.0933,15,6,2024,12:50,Offshore,2,20,2,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Unknown Turtle,37.2183,-74.9357,21,6,2024,20:50,VILLE DE QUEBEC,2,20,2,1,1,Alive,Military Vessel,Free Swimming,,,,,,180
Unknown Turtle,37.1465,-74.933,21,6,2024,20:30,VILLE DE QUEBEC,2,20,2,1,1,Unknown,Military Vessel,Unknown,,,,,,180
Leatherback Turtle,45.6333,-59.8667,12,7,2024,,Offshore,1,9701,2,1,1,Alive,Fishing Vessel,Entrapment,,,Alive,,,
Leatherback Turtle,46.3341,-55.3265,14,7,2024,17:00,Burin,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,46.6675,-55.2337,14,7,2024,14:30,St. Lawrence,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,46.8167,-55.6,18,7,2024,,Fermeuse,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,400,,
Leatherback Turtle,45.4425,-60.5643,20,7,2024,,Offshore,1,9701,2,1,1,Alive,Fishing Vessel,Entrapment,Pot,Unknown,Alive,,,
Leatherback Turtle,47.3333,-57.65,29,7,2024,12:10,Offshore,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,47.168,-60.6953,,7,2024,,Offshore,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,47.0184,-55.957,,7,2024,,Fortune,1,9701,1,1,1,Alive,Ferry,Free Swimming,,,,100,,
Leatherback Turtle,46.7409,-52.7644,,7,2024,,Fermeuse,2,9701,1,1,1,Alive,Fishing Vessel,Entrapment,Pot,Crab,Alive,200,,
Leatherback Turtle,46.8601,-56.1832,1,8,2024,,Near St. Pierre,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,46.5623,-60.252,2,8,2024,,Offshore,1,9701,2,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Unknown Turtle,42.1333,-66.55,2,8,2024,,,1,20,1,1,1,Alive,Fishing Vessel - Observer Trip,Free Swimming,,,,,,
Leatherback Turtle,43.5,-52.0167,4,8,2024,13:30,Point Lance,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,500,,
Leatherback Turtle,50.9665,-55.7674,5,8,2024,,Fox Head and Conche  Northern Peninsula,2,9701,1,1,1,Alive,Unknown,Free Swimming,,,,,,
Leatherback Turtle,47.4142,-55.5586,5,8,2024,,Off Boxey Point off English Harbour West,2,9701,1,1,1,Alive,Unknown,Free Swimming,,,,,,
Leatherback Turtle,43.1333,-51.0167,7,8,2024,14:00,Point Lance,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,47.1065,-55.8995,8,8,2024,18:50,Fortune,1,9701,1,1,1,Alive,Fishing Vessel,Entrapment,Gillnet,Groundfish,Alive,400,,
Leatherback Turtle,46.85,-55.3342,10,8,2024,10:20,St. Lawrence,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,100,,
Leatherback Turtle,47.6225,-59.2882,11,8,2024,,Port aux Basques  S.S.,1,9701,1,1,1,Alive,Fishing Vessel,Entrapment,Gillnet,Mackeral,Alive,50,,
Leatherback Turtle,47.08,-52.8203,12,8,2024,6:00,Cape Broyle,1,9701,1,1,1,Alive,Fishing Vessel,Entrapment,,,Alive,100,,
Leatherback Turtle,47.2975,-55.4173,15,8,2024,10:00,Garnish  F.B.,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,46.814,-56.0554,17,8,2024,,Near St. Pierre,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,47.2407,-55.5061,20,8,2024,,Garnish  F.B.,2,9701,1,1,1,Alive,Patrol RHIB,Free Swimming,,,,200,,
Leatherback Turtle,47.0782,-56.0159,20,8,2024,,Fortune,2,9701,1,3,3,Alive,Patrol RHIB,Free Swimming,,,,400,,
Leatherback Turtle,47.6184,-57.6185,21,8,2024,,Burgeo,1,9701,1,1,1,Alive,Shore,Free Swimming,,,,50,,
Leatherback Turtle,46.8309,-56.2203,21,8,2024,,Near St. Pierre,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,46.7835,-55.2837,22,8,2024,13:17,St. Lawrence,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,100,,
Leatherback Turtle,46.6,-55.2667,23,8,2024,15:30,Burin,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,47.5178,-57.7316,24,8,2024,,Burgeo Islands,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,200,,
Leatherback Turtle,46.8129,-56.1353,27,8,2024,,Near St. Pierre,2,9701,1,1,1,Alive,Shore,Free Swimming,,,,,,
Leatherback Turtle,46.9324,-56.0152,29,8,2024,,Inside Danzig pte. And fortune,2,9701,2,1,1,Alive,Small boat,Free Swimming,,,,,,
Leatherback Turtle,43.1,-51.33,30,8,2024,17:00,Point Lance,1,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,1000,,
Leatherback Turtle,46.8961,-56.0741,30,8,2024,,Green Island,2,9701,1,1,1,Alive,Shore,Free Swimming,,,,100,,
Leatherback Turtle,70.95,-68.6927,31,8,2024,12:00,Offshore,2,9701,2,10,12,Alive,Military Vessel,Free Swimming,,,,,,
Leatherback Turtle,46.9667,-56.25,31,8,2024,,AU LARGE ISTHME,1,9701,1,2,2,Alive,Fishing Vessel,Entrapment,,,Alive,,,
Leatherback Turtle,51.4673,-56.8857,31,8,2024,,L'Anse-Amour  Labrador,2,9701,1,1,1,Alive,Shore,Free Swimming,,,,50,,
Leatherback Turtle,50.8779,-55.879,,8,2024,,,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,50,,
Leatherback Turtle,47.2,-55.58,,8,2024,,Boxey Point  Connaigra Penninsula,2,9701,1,1,1,Alive,Fishing Vessel,Free Swimming,,,,,,
Leatherback Turtle,47.2025,-54.1188,3,9,2024,,Little Barasway,2,9701,1,3,3,Alive,Fishing Vessel,Free Swimming,,,,100,,
